category,category_url,agreement_title,agreement_url
Television Live Action,https://www.sagaftra.org/production-center/contract/812/getting-started,2021 MOA National Code of Fair Practice for Network TV Broadcasting,https://www.sagaftra.org/sites/default/files/Network%20Code%202021-24%20MOA%20FE.pdf
Television Live Action,https://www.sagaftra.org/production-center/contract/812/getting-started,2017 Theatrical/Television MOA,https://www.sagaftra.org/sites/default/files/2017_sag-aftra_theatrical-television_moa_7.pdf
Television Live Action,https://www.sagaftra.org/production-center/contract/812/getting-started,2014-2018 SAG-AFTRA Network Code,https://www.sagaftra.org/sites/default/files/2014-2018_network_television_code_v13.pdf
Television Live Action,https://www.sagaftra.org/production-center/contract/812/getting-started,2018 MOA National Code of Fair Practice for Network TV Broadcasting,https://www.sagaftra.org/sites/default/files/2018MOA-TV-National-Code_0.pdf
Television Live Action,https://www.sagaftra.org/production-center/contract/812/getting-started,2018-2022 National Public Television MOA,https://www.sagaftra.org/sites/default/files/2018-2022PublicTVMOAFE_0.pdf
Television Live Action,https://www.sagaftra.org/production-center/contract/812/getting-started,2014 SAG-AFTRA Basic Agreement,https://www.sagaftra.org/sites/default/files/2014_sag-aftra_cba_1.pdf
Television Live Action,https://www.sagaftra.org/production-center/contract/812/getting-started,2014 SAG-AFTRA TV Agreement,https://www.sagaftra.org/sites/default/files/2014_sag-aftra_tv_agreement_7.pdf
Theatrical (Basic or CBA),https://www.sagaftra.org/production-center/contract/818/getting-started,2020 Theatrical/Television MOA,https://www.sagaftra.org/sites/default/files/2020%20SAG-AFTRA%20MOA%207-22-20%20%2800223283xBE9D7%29-signed.pdf
Theatrical (Basic or CBA),https://www.sagaftra.org/production-center/contract/818/getting-started,2023 Theatrical/Television MOA,https://www.sagaftra.org/sites/default/files/2023_Theatrical_Television_MOA.pdf
Theatrical (Basic or CBA),https://www.sagaftra.org/production-center/contract/818/getting-started,2017 Theatrical/Television MOA,https://www.sagaftra.org/sites/default/files/2017_sag-aftra_theatrical-television_moa_7.pdf
Theatrical (Basic or CBA),https://www.sagaftra.org/production-center/contract/818/getting-started,2014 SAG-AFTRA Basic Agreement,https://www.sagaftra.org/sites/default/files/2014_sag-aftra_cba_1.pdf
Theatrical (Basic or CBA),https://www.sagaftra.org/production-center/contract/818/getting-started,2020 Theatrical Adherence Letter,https://www.sagaftra.org/sites/default/files/Independent%28TH%29AdherenceLetter%20%5BSAMPLE%5D.pdf
Low Budget Theatrical (LBA),https://www.sagaftra.org/production-center/contract/814/getting-started,Low Budget Theatrical Agreement (LBA),https://www.sagaftra.org/sites/default/files/Low%20Budget%20Agreement%20Rev.%202.21.23%20SAMPLE.pdf
Low Budget Theatrical (LBA),https://www.sagaftra.org/production-center/contract/814/getting-started,2020 Theatrical/Television MOA,https://www.sagaftra.org/sites/default/files/2020%20SAG-AFTRA%20MOA%207-22-20%20%2800223283xBE9D7%29-signed.pdf
Low Budget Theatrical (LBA),https://www.sagaftra.org/production-center/contract/814/getting-started,2023 Theatrical/Television MOA,https://www.sagaftra.org/sites/default/files/2023_Theatrical_Television_MOA.pdf
Low Budget Theatrical (LBA),https://www.sagaftra.org/production-center/contract/814/getting-started,2017 Theatrical/Television MOA,https://www.sagaftra.org/sites/default/files/2017_sag-aftra_theatrical-television_moa_7.pdf
Low Budget Theatrical (LBA),https://www.sagaftra.org/production-center/contract/814/getting-started,2014 SAG-AFTRA Basic Agreement,https://www.sagaftra.org/sites/default/files/2014_sag-aftra_cba_1.pdf
